,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1756,2371,2170,2084,86,45,19,22,0,0,7,7,0,0,0,0,0,0,0,29,3,162,1400000US17049950500,"Census Tract 9505,Effingham County",17|049|950500,Illinois
1757,2523,2216,1982,234,142,46,46,0,0,18,18,0,0,0,0,0,0,0,43,0,246,1400000US17049950600,"Census Tract 9506,Effingham County",17|049|950600,Illinois
1758,1543,1326,1195,131,123,0,0,8,0,19,19,0,0,0,0,0,0,9,32,4,153,1400000US17049950700,"Census Tract 9507,Effingham County",17|049|950700,Illinois
1759,2111,1715,1618,97,74,23,0,0,0,6,6,0,0,0,0,36,10,24,161,20,139,1400000US17049950800,"Census Tract 9508,Effingham County",17|049|950800,Illinois
1760,1178,1052,1011,41,41,0,0,0,0,14,11,3,0,0,0,0,0,0,0,19,93,1400000US17051950500,"Census Tract 9505,Fayette County",17|051|950500,Illinois
1761,1135,1087,965,122,102,16,0,4,0,0,0,0,0,0,0,0,0,0,28,7,13,1400000US17051950600,"Census Tract 9506,Fayette County",17|051|950600,Illinois
1762,1833,1626,1447,179,46,56,57,0,20,18,18,0,0,0,0,0,33,0,45,2,109,1400000US17051950700,"Census Tract 9507,Fayette County",17|051|950700,Illinois
1763,1403,1288,1107,181,143,0,25,13,0,0,0,0,0,0,0,0,0,0,71,6,38,1400000US17051950800,"Census Tract 9508,Fayette County",17|051|950800,Illinois
1764,792,707,625,82,44,15,12,11,0,15,15,0,0,0,0,0,0,0,17,3,50,1400000US17051950900,"Census Tract 9509,Fayette County",17|051|950900,Illinois
1765,765,701,680,21,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,64,1400000US17051951000,"Census Tract 9510,Fayette County",17|051|951000,Illinois
1766,1329,1142,1064,78,21,21,30,6,0,0,0,0,0,0,0,2,0,7,72,4,102,1400000US17051951100,"Census Tract 9511,Fayette County",17|051|951100,Illinois
1767,896,788,705,83,71,8,4,0,0,7,0,0,7,0,0,0,0,0,40,8,53,1400000US17053961600,"Census Tract 9616,Ford County",17|053|961600,Illinois
1768,904,820,677,143,141,2,0,0,0,0,0,0,0,0,0,0,0,0,4,8,72,1400000US17053961700,"Census Tract 9617,Ford County",17|053|961700,Illinois
1769,2072,1923,1749,174,102,18,54,0,0,0,0,0,0,0,0,0,0,0,17,5,127,1400000US17053961800,"Census Tract 9618,Ford County",17|053|961800,Illinois
1770,746,644,589,55,35,0,18,2,0,0,0,0,0,0,0,0,0,0,1,1,100,1400000US17053961900,"Census Tract 9619,Ford County",17|053|961900,Illinois
1771,1734,1575,1384,191,181,10,0,0,0,0,0,0,0,0,0,0,0,24,39,0,96,1400000US17053962000,"Census Tract 9620,Ford County",17|053|962000,Illinois
1772,1208,1051,917,134,115,16,3,0,0,0,0,0,0,0,0,0,0,0,7,4,146,1400000US17055040100,"Census Tract 401,Franklin County",17|055|040100,Illinois
1773,1396,1291,1111,180,163,5,12,0,0,0,0,0,0,0,0,0,0,0,28,6,71,1400000US17055040200,"Census Tract 402,Franklin County",17|055|040200,Illinois
1774,1126,1037,919,118,90,26,2,0,0,0,0,0,0,0,0,0,0,0,19,5,65,1400000US17055040300,"Census Tract 403,Franklin County",17|055|040300,Illinois
1775,1594,1466,1338,128,124,4,0,0,0,15,15,0,0,0,0,0,0,0,11,11,91,1400000US17055040400,"Census Tract 404,Franklin County",17|055|040400,Illinois
